YEAR,MONTH,FISHING_GROUND_CODE,FLEET,FISHERY,GEAR,SPECIES,FISHING_DAYS,CATCH
2024,2,5204078,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rainbow runner,20.0,2.5
2024,2,5204078,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,7.0
2024,2,5204079,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,40.0,6.2
2024,2,5204080,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,3.2
2024,2,5204081,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,40.0,17.0
2024,2,5204082,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rough triggerfish,20.0,5.0
2024,2,5204082,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rainbow runner,20.0,2.0
2024,2,5204082,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,10.0
2024,2,5205077,Sri Lanka,Gillnet,Gillnet (offshore),Silky shark,22.0,0.4
2024,2,5205077,Sri Lanka,Gillnet,Gillnet (offshore),Great hammerhead,22.0,0.1
2024,2,5205078,Sri Lanka,Gillnet,Gillnet (offshore),Silky shark,65.0,7.2
2024,2,5205078,Sri Lanka,Gillnet,Gillnet (offshore),Great hammerhead,65.0,1.4
2024,2,5205078,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rough triggerfish,20.0,3.0
2024,2,5205078,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,5.0
2024,2,5205079,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rough triggerfish,79.0,1.7
2024,2,5205079,Sri Lanka,Purse seine | Other,Ringnet (offshore),Rainbow runner,79.0,1.3
2024,2,5205079,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,79.0,13.7
2024,2,5205080,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,40.0,6.2
2024,2,5205081,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,59.0,3.0
2024,2,5205083,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,2.5
2024,2,5205084,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,2.5
2024,2,5205087,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,40.0,0.5
